method,num_foci,source_group,correctly_recovered_components,missed_components,merged_components,split_components,component_recall,component_precision,source_count_accuracy,num_samples
SSQ-FMT,1,1 source,1.0,0.0,0.0,0.0,1.0,1.0,1.0,80
SSQ-FMT,2,2 sources,1.8468468468468469,0.12612612612612611,0.07207207207207207,0.009009009009009009,0.9369369369369369,0.9954954954954955,0.8648648648648649,111
SSQ-FMT,3,3 sources,2.36697247706422,0.5137614678899083,0.27522935779816515,0.03669724770642202,0.8241590214067278,0.9717125382262998,0.4954128440366973,109
w/o query-canonical reliability,1,1 source,1.0,0.0,0.0,0.0,1.0,1.0,1.0,80
w/o query-canonical reliability,2,2 sources,1.8198198198198199,0.15315315315315314,0.11711711711711711,0.009009009009009009,0.9234234234234234,0.9954954954954955,0.8378378378378378,111
w/o query-canonical reliability,3,3 sources,2.3211009174311927,0.5596330275229358,0.3761467889908257,0.009174311926605505,0.808868501529052,0.9808868501529052,0.5045871559633027,109
w/o source-relative query cue,1,1 source,1.0,0.0,0.0,0.0,1.0,1.0,1.0,80
w/o source-relative query cue,2,2 sources,1.8108108108108107,0.16216216216216217,0.12612612612612611,0.009009009009009009,0.918918918918919,0.9939939939939939,0.8198198198198198,111
w/o source-relative query cue,3,3 sources,2.3486238532110093,0.5321100917431193,0.3119266055045872,0.009174311926605505,0.8180428134556575,0.966360856269113,0.5321100917431193,109
w/o transport-aware footprint,1,1 source,1.0,0.0,0.0,0.0,1.0,0.99375,0.9875,80
w/o transport-aware footprint,2,2 sources,1.7927927927927927,0.18018018018018017,0.14414414414414414,0.0,0.9099099099099099,0.978978978978979,0.8018018018018018,111
w/o transport-aware footprint,3,3 sources,2.311926605504587,0.5688073394495413,0.41284403669724773,0.009174311926605505,0.8058103975535168,0.9649847094801224,0.5045871559633027,109
