method,gt_count,predicted_count,count,row_fraction
w/o transport-aware footprint,1,1,84,0.9882352941176471
w/o transport-aware footprint,1,2,1,0.011764705882352941
w/o transport-aware footprint,1,3,0,0.0
w/o transport-aware footprint,1,>3,0,0.0
w/o transport-aware footprint,2,1,21,0.1794871794871795
w/o transport-aware footprint,2,2,92,0.7863247863247863
w/o transport-aware footprint,2,3,4,0.03418803418803419
w/o transport-aware footprint,2,>3,0,0.0
w/o transport-aware footprint,3,1,4,0.04081632653061224
w/o transport-aware footprint,3,2,43,0.4387755102040816
w/o transport-aware footprint,3,3,47,0.47959183673469385
w/o transport-aware footprint,3,>3,4,0.04081632653061224
w/o transport-aware footprint,>3,1,0,0.0
w/o transport-aware footprint,>3,2,0,0.0
w/o transport-aware footprint,>3,3,0,0.0
w/o transport-aware footprint,>3,>3,0,0.0
SSQ-FMT,1,1,82,0.9647058823529412
SSQ-FMT,1,2,3,0.03529411764705882
SSQ-FMT,1,3,0,0.0
SSQ-FMT,1,>3,0,0.0
SSQ-FMT,2,1,16,0.13675213675213677
SSQ-FMT,2,2,100,0.8547008547008547
SSQ-FMT,2,3,1,0.008547008547008548
SSQ-FMT,2,>3,0,0.0
SSQ-FMT,3,1,1,0.01020408163265306
SSQ-FMT,3,2,48,0.4897959183673469
SSQ-FMT,3,3,48,0.4897959183673469
SSQ-FMT,3,>3,1,0.01020408163265306
SSQ-FMT,>3,1,0,0.0
SSQ-FMT,>3,2,0,0.0
SSQ-FMT,>3,3,0,0.0
SSQ-FMT,>3,>3,0,0.0
