sample_id,num_foci,depth_tier,source_type,shape_set,gt_component_count,pred_component_count,matched_component_count,missed_component_count,false_component_count,merge_count,split_count,component_recall,component_precision,mean_matched_iou,small_component_recall,method
sample_0002,1,shallow,uniform,ellipsoid,1,1,1,0,0,0,0,1.0,1.0,0.8015605603830467,,SSQ-FMT
sample_0006,1,deep,uniform,sphere,1,1,1,0,0,0,0,1.0,1.0,0.845233399079553,,SSQ-FMT
sample_0022,2,shallow,uniform,irregular,2,2,2,0,0,0,0,1.0,1.0,0.46174898198062,,SSQ-FMT
sample_0032,1,shallow,uniform,irregular,1,1,1,0,0,0,0,1.0,1.0,0.8262890158889656,,SSQ-FMT
sample_0038,2,deep,uniform,irregular+sphere,2,2,2,0,0,0,0,1.0,1.0,0.6517311777984331,,SSQ-FMT
sample_0079,2,medium,uniform,ellipsoid,2,2,2,0,0,0,0,1.0,1.0,0.5238329280536662,,SSQ-FMT
sample_0096,2,medium,uniform,ellipsoid+sphere,2,2,2,0,0,0,0,1.0,1.0,0.7152626442267296,,SSQ-FMT
sample_0100,2,shallow,uniform,sphere,2,2,2,0,0,0,0,1.0,1.0,0.2756244727673113,,SSQ-FMT
sample_0108,1,deep,uniform,ellipsoid,1,1,1,0,0,0,0,1.0,1.0,0.4651240778001341,,SSQ-FMT
sample_0113,3,medium,uniform,ellipsoid,3,3,3,0,0,0,0,1.0,1.0,0.5258403423473106,,SSQ-FMT
sample_0122,3,deep,uniform,ellipsoid+sphere,3,2,2,1,0,1,0,0.6666666666666666,1.0,0.557492767933069,,SSQ-FMT
sample_0128,3,deep,uniform,ellipsoid+sphere,3,3,3,0,0,0,0,1.0,1.0,0.7355292903121643,,SSQ-FMT
sample_0130,2,shallow,uniform,ellipsoid+sphere,2,1,1,1,0,0,0,0.5,1.0,0.8702727481090993,,SSQ-FMT
sample_0158,1,medium,uniform,irregular,1,1,1,0,0,0,0,1.0,1.0,0.7893926432848588,,SSQ-FMT
sample_0163,3,deep,uniform,ellipsoid+sphere,3,3,3,0,0,0,0,1.0,1.0,0.5885210595599875,,SSQ-FMT
sample_0180,1,medium,uniform,sphere,1,1,1,0,0,0,0,1.0,1.0,0.4505928853754941,,SSQ-FMT
sample_0187,3,medium,uniform,ellipsoid+sphere,3,3,3,0,0,0,0,1.0,1.0,0.4901459994306915,,SSQ-FMT
sample_0189,3,shallow,uniform,irregular+sphere,3,3,2,1,1,0,0,0.6666666666666666,0.6666666666666666,0.7129198234117458,,SSQ-FMT
sample_0192,3,medium,uniform,ellipsoid+irregular,3,2,2,1,0,1,0,0.6666666666666666,1.0,0.3152739043077984,,SSQ-FMT
sample_0207,2,medium,uniform,irregular+sphere,2,1,1,1,0,0,0,0.5,1.0,0.6738254321773253,,SSQ-FMT
sample_0234,3,deep,uniform,ellipsoid+sphere,3,2,2,1,0,0,0,0.6666666666666666,1.0,0.4075230949858269,,SSQ-FMT
sample_0240,2,deep,uniform,ellipsoid+sphere,2,2,2,0,0,0,0,1.0,1.0,0.7642152010645666,,SSQ-FMT
sample_0248,3,deep,uniform,irregular,3,3,3,0,0,0,0,1.0,1.0,0.6355373147801444,,SSQ-FMT
sample_0260,3,medium,uniform,sphere,2,3,2,0,1,0,1,1.0,0.6666666666666666,0.3977313602889565,,SSQ-FMT
