sample_id,num_foci,depth_tier,source_type,shape_set,shape_class,has_sphere,has_ellipsoid,has_irregular,dice,iou,precision,recall,nrmse,psnr,ssim,cle,ple,cnr,flops_g,volume_error,assd,hd95,inference_time_ms,peak_gpu_memory_mb,pred_positive_count,gt_positive_count,method
sample_0002,1,shallow,uniform,ellipsoid,ellipsoid,0,1,0,0.8898951616873112,0.8016316396206423,0.8576036429182643,0.9247135842881294,0.0207648687064647,33.65341671857551,0.9962921920256708,0.3024771863751271,3.5496478698597698,3.8500010640226585,,0.0782528641571194,0.1438348294509964,0.4354101966249685,32351.557097004843,3734.8515625,10541,9776,SSQ-FMT
sample_0006,1,deep,uniform,sphere,sphere,1,0,0,0.916049030786833,0.8451019066405718,0.9418229777257592,0.8916481687015931,0.0146128982305526,36.70527272355231,0.997918310401768,0.1593422983508171,2.209072203437452,3.4524073635187484,,0.053274139844617,0.0927868000392656,0.282842712474619,3523.700658995949,3734.6015625,6824,7208,SSQ-FMT
sample_0022,2,shallow,uniform,irregular,irregular,0,0,1,0.6420919974797467,0.4728538283067537,0.4743064606223474,0.9935647425897162,0.0349418744444847,29.133076203642165,0.9925118297348016,0.5926967104820225,1.3416407864998738,13.3761377581449,,1.094773790951638,0.3873288248131313,0.8246211251235323,3613.878336000198,3734.9765625,10742,5128,SSQ-FMT
sample_0032,1,shallow,uniform,irregular,irregular,0,0,1,0.904883081155466,0.8262890158890748,0.9310735262897664,0.8801257609205431,0.0239981599152088,32.39644082088799,0.9957922224083748,0.2718078236107716,1.019803902718557,2.91618403570639,,0.0547193792226904,0.1353864563288351,0.4898979485566356,3334.7165989980567,3735.3515625,14131,14949,SSQ-FMT
sample_0038,2,deep,uniform,irregular+sphere,mixed_two_shape,1,0,1,0.8499488551420844,0.7390530925015469,0.8350985697720641,0.8653368581271607,0.0275758486241102,31.18942222716539,0.9938634485713878,0.5871445466159162,17.075128110793194,2.9061856926189398,,0.0362092445726187,0.2011857343362238,0.6000000000000001,3447.3068670049543,3734.1640625,12935,12483,SSQ-FMT
sample_0079,2,medium,uniform,ellipsoid,ellipsoid,0,1,0,0.6839412565793058,0.5196890032444794,0.5496007098494236,0.9052026500390636,0.0400931499898433,27.938596035789097,0.9882281201155106,0.4255001881618254,4.33589667773576,3.7658135643712938,,0.6470187061574435,0.4123482457341059,0.938083151964686,3448.896134999813,3735.1015625,16905,10264,SSQ-FMT
sample_0096,2,medium,uniform,ellipsoid+sphere,mixed_two_shape,1,1,0,0.8356892457311796,0.7177544677547418,0.9476788920236628,0.7473705501620678,0.0214077606797218,33.388574802648165,0.9954245845229194,1.1202869049997095,11.113955191559846,2.0675905130006846,,0.2113673139158576,0.1716457042890155,0.4898979485566356,3392.5934479993884,3734.6015625,7798,9888,SSQ-FMT
sample_0100,2,shallow,uniform,sphere,sphere,1,0,0,0.4234596654674746,0.2686005909222823,0.2686005909222823,1.0,0.034645278006792,29.207118942413903,0.9935537467093094,0.4746653598861098,1.7663521732655696,26.150187835809096,,2.723,0.6088520265442596,1.0392304845413265,3418.642835997161,3734.9765625,7446,2000,SSQ-FMT
sample_0108,1,deep,uniform,ellipsoid,ellipsoid,0,1,0,0.634927901121747,0.4651240778005825,1.0,0.4651240778005825,0.037946630269289,28.416534868282326,0.9931291793741543,0.0677710626960679,3.111269837220809,1.0648960078569532,,0.5348759221998659,0.5299387817889808,0.8246211251235323,3301.032406001468,3735.3515625,5548,11928,SSQ-FMT
sample_0113,3,medium,uniform,ellipsoid,ellipsoid,0,1,0,0.6857579877636932,0.5217897323166665,0.6047661870509521,0.7917974882264682,0.0242556855082511,32.303728583713195,0.9921987260059452,1.4025456864589427,2.078460969082653,2.559842735686434,,0.3092621664050236,0.2526698986925972,0.632455532033676,3285.138108003593,3734.1640625,6672,5096,SSQ-FMT
