sample_id,comparison,num_foci,delta_dice,delta_component_recall,delta_merge_count,ssq_dice,ablation_dice,ssq_merge_count,ablation_merge_count
sample_0002,w/o transport-aware footprint,1,0.008109027727208673,0.0,0.0,0.8898951616873112,0.8817861339601025,0.0,0.0
sample_0006,w/o transport-aware footprint,1,0.04698829787934167,0.0,0.0,0.916049030786833,0.8690607329074913,0.0,0.0
sample_0022,w/o transport-aware footprint,2,0.12315748256373804,0.0,0.0,0.6420919974797467,0.5189345149160086,0.0,0.0
sample_0032,w/o transport-aware footprint,1,0.020791138392244557,0.0,0.0,0.904883081155466,0.8840919427632215,0.0,0.0
sample_0038,w/o transport-aware footprint,2,0.09268521179072287,0.0,0.0,0.8499488551420844,0.7572636433513615,0.0,0.0
sample_0079,w/o transport-aware footprint,2,0.10072654548485815,0.5,-1.0,0.6839412565793058,0.5832147110944477,0.0,1.0
sample_0096,w/o transport-aware footprint,2,0.07149919471067745,0.0,0.0,0.8356892457311796,0.7641900510205022,0.0,0.0
sample_0100,w/o transport-aware footprint,2,0.13360459300319188,0.0,0.0,0.4234596654674746,0.2898550724642827,0.0,0.0
sample_0108,w/o transport-aware footprint,1,-0.20885357892480716,0.0,0.0,0.634927901121747,0.8437814800465542,0.0,0.0
sample_0113,w/o transport-aware footprint,3,0.09955721784932314,0.0,0.0,0.6857579877636932,0.5862007699143701,0.0,0.0
sample_0122,w/o transport-aware footprint,3,-0.0005320378987027086,0.0,0.0,0.6915035762007029,0.6920356140994056,1.0,1.0
sample_0128,w/o transport-aware footprint,3,0.08955373518862209,0.0,0.0,0.8573063352300272,0.7677526000414051,0.0,0.0
sample_0130,w/o transport-aware footprint,2,0.0505347269865325,-0.5,0.0,0.9066380133715934,0.856103286385061,0.0,0.0
sample_0158,w/o transport-aware footprint,1,0.03188543960309287,0.0,0.0,0.8821954484606214,0.8503100088575285,0.0,0.0
sample_0163,w/o transport-aware footprint,3,0.09768295136143756,0.0,0.0,0.7785094992183738,0.6808265478569362,0.0,0.0
sample_0180,w/o transport-aware footprint,1,0.11620010404243286,0.0,0.0,0.6212534059948729,0.50505330195244,0.0,0.0
sample_0187,w/o transport-aware footprint,3,0.06777728461434529,0.0,0.0,0.8387824126268608,0.7710051280125155,0.0,0.0
sample_0189,w/o transport-aware footprint,3,0.03298067743066213,0.0,0.0,0.8265684715597327,0.7935877941290705,0.0,0.0
sample_0192,w/o transport-aware footprint,3,0.01754920062675014,0.0,0.0,0.6262897730001313,0.6087405723733812,1.0,1.0
sample_0207,w/o transport-aware footprint,2,-0.0113841697127125,0.0,0.0,0.7960532498042926,0.8074374195170051,0.0,0.0
sample_0234,w/o transport-aware footprint,3,0.025328344622650656,0.0,0.0,0.6218870296175576,0.5965586849949069,0.0,0.0
sample_0240,w/o transport-aware footprint,2,0.0037844488758140837,0.0,0.0,0.8426555531184314,0.8388711042426173,0.0,0.0
sample_0248,w/o transport-aware footprint,3,0.0719292529192338,0.0,0.0,0.8549960797979234,0.7830668268786896,0.0,0.0
sample_0260,w/o transport-aware footprint,3,-0.16263615058920589,0.0,0.0,0.4978645515561331,0.660500702145339,0.0,0.0
sample_0276,w/o transport-aware footprint,2,0.0037040053006506257,0.0,0.0,0.8045966184713397,0.800892613170689,0.0,0.0
sample_0280,w/o transport-aware footprint,1,0.1135653876168719,0.0,0.0,0.4000562271585605,0.2864908395416886,0.0,0.0
sample_0290,w/o transport-aware footprint,3,-0.011041664991833011,0.0,0.0,0.6179762227473113,0.6290178877391444,0.0,0.0
sample_0297,w/o transport-aware footprint,1,-0.06681771428374217,0.0,0.0,0.7465009023462015,0.8133186166299436,0.0,0.0
sample_0300,w/o transport-aware footprint,3,-0.018644717490345575,0.0,0.0,0.6764667163984043,0.6951114338887499,0.0,0.0
sample_0308,w/o transport-aware footprint,2,0.03382320977381481,0.0,0.0,0.8487514049749065,0.8149281952010917,0.0,0.0
sample_0322,w/o transport-aware footprint,2,0.13003361743140385,0.0,0.0,0.7474959672882366,0.6174623498568328,1.0,1.0
sample_0328,w/o transport-aware footprint,1,0.05185849448804969,0.0,0.0,0.886400197995368,0.8345417035073183,0.0,0.0
sample_0335,w/o transport-aware footprint,1,0.005600737862420768,0.0,0.0,0.7674376905148221,0.7618369526524014,0.0,0.0
sample_0347,w/o transport-aware footprint,2,-0.1252850173506735,-0.5,0.0,0.4745248685812024,0.5998098859318759,0.0,0.0
sample_0350,w/o transport-aware footprint,3,0.010257128360723122,0.0,0.0,0.5609278269731518,0.5506706986124287,0.0,0.0
sample_0378,w/o transport-aware footprint,2,0.055218314313232764,0.5,-1.0,0.7811087538051005,0.7258904394918677,0.0,1.0
sample_0382,w/o transport-aware footprint,2,0.136670622805646,0.0,0.0,0.7159985683610272,0.5793279455553811,0.0,0.0
sample_0386,w/o transport-aware footprint,3,-0.011915189229343981,0.0,0.0,0.6096795095451281,0.621594698774472,1.0,1.0
sample_0396,w/o transport-aware footprint,3,0.045495352823419766,0.0,0.0,0.6443109632255978,0.598815610402178,0.0,0.0
sample_0397,w/o transport-aware footprint,3,-0.12093691700304499,0.0,0.0,0.6243704993647929,0.7453074163678379,1.0,1.0
sample_0401,w/o transport-aware footprint,3,0.1103200266512272,0.0,0.0,0.6808043875686854,0.5704843609174582,0.0,0.0
sample_0409,w/o transport-aware footprint,2,0.1923709447531603,0.0,0.0,0.6902909447533898,0.4979200000002295,0.0,0.0
sample_0418,w/o transport-aware footprint,3,0.06505642927142313,0.0,0.0,0.5280833815870217,0.4630269523155986,0.0,0.0
sample_0436,w/o transport-aware footprint,2,0.028816853241568685,0.0,0.0,0.4684916963680378,0.4396748431264691,0.0,0.0
sample_0438,w/o transport-aware footprint,2,-0.12938209144531998,0.5,-1.0,0.6175514626221441,0.7469335540674641,0.0,1.0
sample_0447,w/o transport-aware footprint,1,0.05913100568704044,0.0,0.0,0.9098688494094412,0.8507378437224008,0.0,0.0
sample_0449,w/o transport-aware footprint,2,0.06260800454568505,0.0,0.0,0.7809661781914632,0.7183581736457781,0.0,0.0
sample_0456,w/o transport-aware footprint,3,0.07045894197643299,0.0,0.0,0.644314338703355,0.573855396726922,1.0,1.0
sample_0458,w/o transport-aware footprint,1,0.11793392943563685,0.0,0.0,0.8835725677832034,0.7656386383475665,0.0,0.0
sample_0469,w/o transport-aware footprint,3,-0.0032629278843852028,-0.33333333333333337,1.0,0.692207190121089,0.6954701180054742,1.0,0.0
sample_0472,w/o transport-aware footprint,1,-0.03019540920553121,0.0,0.0,0.8790746582545198,0.909270067460051,0.0,0.0
sample_0473,w/o transport-aware footprint,3,0.11682014187713452,0.0,0.0,0.7592015968064834,0.6423814549293488,0.0,0.0
sample_0511,w/o transport-aware footprint,2,0.017705079464400142,0.0,0.0,0.7933257032710118,0.7756206238066117,0.0,0.0
sample_0521,w/o transport-aware footprint,3,0.08861242696423577,0.0,0.0,0.8116117608686401,0.7229993339044043,0.0,0.0
sample_0525,w/o transport-aware footprint,3,-0.038216281079002656,-0.33333333333333337,0.0,0.5552012514291829,0.5934175325081855,0.0,0.0
sample_0535,w/o transport-aware footprint,2,0.039365581132335126,0.0,0.0,0.8250636857914813,0.7856981046591461,0.0,0.0
sample_0536,w/o transport-aware footprint,2,-0.0005551175378174511,0.0,0.0,0.756917331522868,0.7574724490606854,0.0,0.0
sample_0541,w/o transport-aware footprint,1,0.1859395904188914,0.0,0.0,0.8667374312459069,0.6807978408270154,0.0,0.0
sample_0566,w/o transport-aware footprint,3,0.08701016135995665,0.3333333333333333,0.0,0.6029715229056062,0.5159613615456495,1.0,1.0
sample_0585,w/o transport-aware footprint,2,-0.16070466940173467,0.0,0.0,0.5194493006995633,0.680153970101298,0.0,0.0
sample_0603,w/o transport-aware footprint,1,0.058154088493119094,0.0,0.0,0.8829140336235347,0.8247599451304156,0.0,0.0
sample_0610,w/o transport-aware footprint,2,0.16647331156253764,0.0,0.0,0.7649038156309029,0.5984305040683653,1.0,1.0
sample_0626,w/o transport-aware footprint,3,0.006641368220760502,0.0,0.0,0.5015924323812798,0.4949510641605193,0.0,0.0
sample_0633,w/o transport-aware footprint,2,0.19665274792051646,0.0,0.0,0.730434782608985,0.5337820346884685,0.0,0.0
sample_0646,w/o transport-aware footprint,3,0.06978216028512219,0.0,0.0,0.8454703587044119,0.7756881984192897,0.0,0.0
sample_0647,w/o transport-aware footprint,3,0.07992512827799192,0.0,0.0,0.8446249033256594,0.7646997750476675,0.0,0.0
sample_0652,w/o transport-aware footprint,3,-0.02706749433181621,0.0,0.0,0.6688382988069436,0.6959057931387598,1.0,1.0
sample_0661,w/o transport-aware footprint,1,0.26837619760077347,0.0,0.0,0.8927929008275016,0.6244167032267282,0.0,0.0
sample_0666,w/o transport-aware footprint,1,0.31808975381570337,0.0,0.0,0.7555277430123534,0.43743798919665,0.0,0.0
sample_0674,w/o transport-aware footprint,3,0.07390852309326479,0.33333333333333337,-1.0,0.8649062725307025,0.7909977494374377,0.0,1.0
sample_0676,w/o transport-aware footprint,3,0.021097774041820894,0.0,0.0,0.7789734311019051,0.7578756570600842,1.0,1.0
sample_0681,w/o transport-aware footprint,3,0.03020537796111733,0.0,0.0,0.8159262467516966,0.7857208687905792,0.0,0.0
sample_0712,w/o transport-aware footprint,2,0.25130529634917975,0.5,-1.0,0.7030965391623974,0.4517912428132177,0.0,1.0
