sample_id,number_of_sources,minimum_inter_source_distance_mm,weak_to_dominant_intensity_ratio,minimum_source_volume,shape_set,source_type,metadata_missing
sample_0002,1,,1.0,9776.0,,uniform,False
sample_0006,1,,1.0,7208.0,,uniform,False
sample_0022,2,15.92733499365164,0.9882663017980347,1562.0,,uniform,False
sample_0032,1,,1.0,14949.0,,uniform,False
sample_0038,2,16.822603841260722,0.7184231306424439,432.0,,uniform,False
sample_0079,2,6.817624219623726,0.659858982559717,3712.0,,uniform,False
sample_0096,2,9.785703858180057,0.5442071054219149,4776.0,,uniform,False
sample_0100,2,7.076722405181652,0.7544995524157119,672.0,,uniform,False
sample_0108,1,,1.0,11928.0,,uniform,False
sample_0113,3,12.414507642270799,0.7833684824356897,1272.0,,uniform,False
sample_0122,3,4.707440918375929,0.5002942963886573,552.0,,uniform,False
sample_0128,3,8.395236744726144,0.4619309934763417,4776.0,,uniform,False
sample_0130,2,5.299056519796706,0.4940620372353948,432.0,,uniform,False
sample_0158,1,,1.0,4906.0,,uniform,False
sample_0163,3,7.166589146867566,0.7240398375695541,1472.0,,uniform,False
sample_0180,1,,1.0,3648.0,,uniform,False
sample_0187,3,10.947145746723205,0.641405643838162,360.0,,uniform,False
sample_0189,3,9.368030742904295,0.5103080462792021,304.0,,uniform,False
sample_0192,3,4.565084884205331,0.7657735417057048,1336.0,,uniform,False
sample_0207,2,7.515317691222377,0.9620049928258332,360.0,,uniform,False
sample_0234,3,6.606057825965498,0.800525712471196,360.0,,uniform,False
sample_0240,2,19.7453792062852,0.9375036154285199,4776.0,,uniform,False
sample_0248,3,6.459102104782056,0.37541811705934075,2303.0,,uniform,False
sample_0260,3,4.4810713004816165,0.4968866319822464,672.0,,uniform,False
sample_0276,2,11.233877335986895,0.6633564178031782,3840.0,,uniform,False
sample_0280,1,,1.0,1423.0,,uniform,False
sample_0290,3,7.318469785412794,0.7040410974083021,3872.0,,uniform,False
sample_0297,1,,1.0,15625.0,,uniform,False
sample_0300,3,7.090839160494334,0.4186776438536775,941.0,,uniform,False
sample_0308,2,17.310112651279887,0.6535182522416206,3332.0,,uniform,False
sample_0322,2,4.770744176750628,0.8143764154738123,2008.0,,uniform,False
sample_0328,1,,1.0,8184.0,,uniform,False
sample_0335,1,,1.0,4280.0,,uniform,False
sample_0347,2,5.5497747702046425,0.5815886959349378,1888.0,,uniform,False
sample_0350,3,12.237646832622683,0.5586838285646628,1088.0,,uniform,False
sample_0378,2,7.740800992145452,0.5050471732617079,4896.0,,uniform,False
sample_0382,2,20.37743850438519,0.5423110927294854,1286.0,,uniform,False
sample_0386,3,5.741080037762929,0.38456712115196046,1904.0,,uniform,False
sample_0396,3,5.499090833947008,0.519777347986511,3064.0,,uniform,False
sample_0397,3,3.6932370625238766,0.47796811001482736,456.0,,uniform,False
sample_0401,3,9.52050418832952,0.8542473445169662,672.0,,uniform,False
sample_0409,2,15.370100845472681,0.5551500373445075,720.0,,uniform,False
sample_0418,3,4.180908992073376,0.6389982385813748,672.0,,uniform,False
sample_0436,2,11.02905254316979,0.7102882315019553,1067.0,,uniform,False
sample_0438,2,6.359245238233857,0.7898365784887469,1376.0,,uniform,False
sample_0447,1,,1.0,5520.0,,uniform,False
sample_0449,2,10.720074626605916,0.7912187891425575,672.0,,uniform,False
sample_0456,3,3.611094017053556,0.8964784571339841,1952.0,,uniform,False
sample_0458,1,,1.0,5447.0,,uniform,False
sample_0469,3,4.7201694884823775,0.43515300587465044,1296.0,,uniform,False
sample_0472,1,,1.0,13088.0,,uniform,False
sample_0473,3,9.427618999514142,0.78279484075879,1040.0,,uniform,False
sample_0511,2,12.485191228010889,0.9041846477361158,3321.0,,uniform,False
sample_0521,3,3.458323293158117,0.5067086729586847,952.0,,uniform,False
sample_0525,3,6.743886120034946,0.3981874923427049,1000.0,,uniform,False
sample_0535,2,3.7416573867739396,0.7813799182669287,12469.0,,uniform,False
sample_0536,2,17.329743217947577,0.5577095204186867,672.0,,uniform,False
sample_0541,1,,1.0,5176.0,,uniform,False
sample_0566,3,6.276941930590087,0.7089859204591652,1736.0,,uniform,False
sample_0585,2,14.643770006388385,0.5883204611732864,6768.0,,uniform,False
sample_0603,1,,1.0,7688.0,,uniform,False
sample_0610,2,6.8,0.5678560840696262,1064.0,,uniform,False
sample_0626,3,7.224956747275378,0.7001642778770407,360.0,,uniform,False
