sample_id,ablation,label,delta_dice
sample_0002,w/o transport-aware footprint,No footprint,0.008109027727208673
sample_0006,w/o transport-aware footprint,No footprint,0.04698829787934167
sample_0022,w/o transport-aware footprint,No footprint,0.12315748256373804
sample_0032,w/o transport-aware footprint,No footprint,0.020791138392244557
sample_0038,w/o transport-aware footprint,No footprint,0.09268521179072287
sample_0079,w/o transport-aware footprint,No footprint,0.10072654548485815
sample_0096,w/o transport-aware footprint,No footprint,0.07149919471067745
sample_0100,w/o transport-aware footprint,No footprint,0.13360459300319188
sample_0108,w/o transport-aware footprint,No footprint,-0.20885357892480716
sample_0113,w/o transport-aware footprint,No footprint,0.09955721784932314
sample_0122,w/o transport-aware footprint,No footprint,-0.0005320378987027086
sample_0128,w/o transport-aware footprint,No footprint,0.08955373518862209
sample_0130,w/o transport-aware footprint,No footprint,0.0505347269865325
sample_0158,w/o transport-aware footprint,No footprint,0.03188543960309287
sample_0163,w/o transport-aware footprint,No footprint,0.09768295136143756
sample_0180,w/o transport-aware footprint,No footprint,0.11620010404243286
sample_0187,w/o transport-aware footprint,No footprint,0.06777728461434529
sample_0189,w/o transport-aware footprint,No footprint,0.03298067743066213
sample_0192,w/o transport-aware footprint,No footprint,0.01754920062675014
sample_0207,w/o transport-aware footprint,No footprint,-0.0113841697127125
sample_0234,w/o transport-aware footprint,No footprint,0.025328344622650656
sample_0240,w/o transport-aware footprint,No footprint,0.0037844488758140837
sample_0248,w/o transport-aware footprint,No footprint,0.0719292529192338
sample_0260,w/o transport-aware footprint,No footprint,-0.16263615058920589
sample_0276,w/o transport-aware footprint,No footprint,0.0037040053006506257
sample_0280,w/o transport-aware footprint,No footprint,0.1135653876168719
sample_0290,w/o transport-aware footprint,No footprint,-0.011041664991833011
sample_0297,w/o transport-aware footprint,No footprint,-0.06681771428374217
sample_0300,w/o transport-aware footprint,No footprint,-0.018644717490345575
sample_0308,w/o transport-aware footprint,No footprint,0.03382320977381481
sample_0322,w/o transport-aware footprint,No footprint,0.13003361743140385
sample_0328,w/o transport-aware footprint,No footprint,0.05185849448804969
sample_0335,w/o transport-aware footprint,No footprint,0.005600737862420768
sample_0347,w/o transport-aware footprint,No footprint,-0.1252850173506735
sample_0350,w/o transport-aware footprint,No footprint,0.010257128360723122
sample_0378,w/o transport-aware footprint,No footprint,0.055218314313232764
sample_0382,w/o transport-aware footprint,No footprint,0.136670622805646
sample_0386,w/o transport-aware footprint,No footprint,-0.011915189229343981
sample_0396,w/o transport-aware footprint,No footprint,0.045495352823419766
sample_0397,w/o transport-aware footprint,No footprint,-0.12093691700304499
sample_0401,w/o transport-aware footprint,No footprint,0.1103200266512272
sample_0409,w/o transport-aware footprint,No footprint,0.1923709447531603
sample_0418,w/o transport-aware footprint,No footprint,0.06505642927142313
sample_0436,w/o transport-aware footprint,No footprint,0.028816853241568685
sample_0438,w/o transport-aware footprint,No footprint,-0.12938209144531998
sample_0447,w/o transport-aware footprint,No footprint,0.05913100568704044
sample_0449,w/o transport-aware footprint,No footprint,0.06260800454568505
sample_0456,w/o transport-aware footprint,No footprint,0.07045894197643299
sample_0458,w/o transport-aware footprint,No footprint,0.11793392943563685
sample_0469,w/o transport-aware footprint,No footprint,-0.0032629278843852028
