method,distance_bin,ratio_bin,distance_mid_mm,ratio_mid,sample_count,component_recall,merge_probability,component_recall_no_footprint,merge_probability_no_source_cue,component_recall_improvement_vs_no_footprint,merge_reduction_vs_no_source_cue
SSQ-FMT,"(2.89, 5.977]","(0.346, 0.518]",4.4335,0.432,20,0.7083333333333333,0.6,0.6833333333333333,0.6,0.02499999999999991,0.0
SSQ-FMT,"(2.89, 5.977]","(0.518, 0.639]",4.4335,0.5785,16,0.78125,0.25,0.8020833333333333,0.375,-0.02083333333333326,0.125
SSQ-FMT,"(2.89, 5.977]","(0.639, 0.8]",4.4335,0.7195,9,0.7407407407407408,0.5555555555555556,0.7407407407407408,0.4444444444444444,0.0,-0.11111111111111116
SSQ-FMT,"(2.89, 5.977]","(0.8, 0.995]",4.4335,0.8975,10,0.7,0.4,0.7,0.4,0.0,0.0
SSQ-FMT,"(5.977, 8.23]","(0.346, 0.518]",7.1035,0.432,10,0.8333333333333333,0.1,0.7333333333333333,0.4,0.09999999999999998,0.30000000000000004
SSQ-FMT,"(5.977, 8.23]","(0.518, 0.639]",7.1035,0.5785,14,0.8095238095238094,0.2857142857142857,0.75,0.35714285714285715,0.05952380952380942,0.07142857142857145
SSQ-FMT,"(5.977, 8.23]","(0.639, 0.8]",7.1035,0.7195,17,0.872549019607843,0.23529411764705882,0.7647058823529411,0.35294117647058826,0.10784313725490191,0.11764705882352944
SSQ-FMT,"(5.977, 8.23]","(0.8, 0.995]",7.1035,0.8975,14,0.7976190476190477,0.2857142857142857,0.75,0.35714285714285715,0.04761904761904767,0.07142857142857145
SSQ-FMT,"(8.23, 12.49]","(0.346, 0.518]",10.36,0.432,13,0.8974358974358976,0.0,0.8974358974358974,0.07692307692307693,2.220446049250313e-16,0.07692307692307693
SSQ-FMT,"(8.23, 12.49]","(0.518, 0.639]",10.36,0.5785,14,0.9761904761904762,0.0,0.9761904761904762,0.0,0.0,0.0
SSQ-FMT,"(8.23, 12.49]","(0.639, 0.8]",10.36,0.7195,17,1.0,0.0,1.0,0.058823529411764705,0.0,0.058823529411764705
SSQ-FMT,"(8.23, 12.49]","(0.8, 0.995]",10.36,0.8975,11,1.0,0.0,0.9545454545454546,0.0,0.045454545454545414,0.0
SSQ-FMT,"(12.49, 29.698]","(0.346, 0.518]",21.094,0.432,12,1.0,0.0,1.0,0.0,0.0,0.0
SSQ-FMT,"(12.49, 29.698]","(0.518, 0.639]",21.094,0.5785,11,0.9545454545454546,0.0,1.0,0.0,-0.045454545454545414,0.0
SSQ-FMT,"(12.49, 29.698]","(0.639, 0.8]",21.094,0.7195,12,1.0,0.0,1.0,0.0,0.0,0.0
SSQ-FMT,"(12.49, 29.698]","(0.8, 0.995]",21.094,0.8975,20,1.0,0.0,0.975,0.0,0.025000000000000022,0.0
