method,distance_bin,ratio_bin,distance_mid_mm,ratio_mid,sample_count,component_recall,merge_probability
SSQ-FMT,"(2.89, 5.977]","(0.346, 0.518]",4.4335,0.432,20,0.7083333333333333,0.6
SSQ-FMT,"(2.89, 5.977]","(0.518, 0.639]",4.4335,0.5785,16,0.78125,0.25
SSQ-FMT,"(2.89, 5.977]","(0.639, 0.8]",4.4335,0.7195,9,0.7407407407407408,0.5555555555555556
SSQ-FMT,"(2.89, 5.977]","(0.8, 0.995]",4.4335,0.8975,10,0.7,0.4
SSQ-FMT,"(5.977, 8.23]","(0.346, 0.518]",7.1035,0.432,10,0.8333333333333333,0.1
SSQ-FMT,"(5.977, 8.23]","(0.518, 0.639]",7.1035,0.5785,14,0.8095238095238094,0.2857142857142857
SSQ-FMT,"(5.977, 8.23]","(0.639, 0.8]",7.1035,0.7195,17,0.872549019607843,0.23529411764705882
SSQ-FMT,"(5.977, 8.23]","(0.8, 0.995]",7.1035,0.8975,14,0.7976190476190477,0.2857142857142857
SSQ-FMT,"(8.23, 12.49]","(0.346, 0.518]",10.36,0.432,13,0.8974358974358976,0.0
SSQ-FMT,"(8.23, 12.49]","(0.518, 0.639]",10.36,0.5785,14,0.9761904761904762,0.0
SSQ-FMT,"(8.23, 12.49]","(0.639, 0.8]",10.36,0.7195,17,1.0,0.0
SSQ-FMT,"(8.23, 12.49]","(0.8, 0.995]",10.36,0.8975,11,1.0,0.0
SSQ-FMT,"(12.49, 29.698]","(0.346, 0.518]",21.094,0.432,12,1.0,0.0
SSQ-FMT,"(12.49, 29.698]","(0.518, 0.639]",21.094,0.5785,11,0.9545454545454546,0.0
SSQ-FMT,"(12.49, 29.698]","(0.639, 0.8]",21.094,0.7195,12,1.0,0.0
SSQ-FMT,"(12.49, 29.698]","(0.8, 0.995]",21.094,0.8975,20,1.0,0.0
w/o source-relative query cue,"(2.89, 5.977]","(0.346, 0.518]",4.4335,0.432,20,0.6833333333333333,0.6
w/o source-relative query cue,"(2.89, 5.977]","(0.518, 0.639]",4.4335,0.5785,16,0.7708333333333333,0.375
w/o source-relative query cue,"(2.89, 5.977]","(0.639, 0.8]",4.4335,0.7195,9,0.7777777777777778,0.4444444444444444
w/o source-relative query cue,"(2.89, 5.977]","(0.8, 0.995]",4.4335,0.8975,10,0.7,0.4
w/o source-relative query cue,"(5.977, 8.23]","(0.346, 0.518]",7.1035,0.432,10,0.7833333333333333,0.4
w/o source-relative query cue,"(5.977, 8.23]","(0.518, 0.639]",7.1035,0.5785,14,0.8333333333333331,0.35714285714285715
w/o source-relative query cue,"(5.977, 8.23]","(0.639, 0.8]",7.1035,0.7195,17,0.7941176470588235,0.35294117647058826
w/o source-relative query cue,"(5.977, 8.23]","(0.8, 0.995]",7.1035,0.8975,14,0.75,0.35714285714285715
w/o source-relative query cue,"(8.23, 12.49]","(0.346, 0.518]",10.36,0.432,13,0.8974358974358974,0.07692307692307693
w/o source-relative query cue,"(8.23, 12.49]","(0.518, 0.639]",10.36,0.5785,14,1.0,0.0
w/o source-relative query cue,"(8.23, 12.49]","(0.639, 0.8]",10.36,0.7195,17,0.9705882352941176,0.058823529411764705
w/o source-relative query cue,"(8.23, 12.49]","(0.8, 0.995]",10.36,0.8975,11,1.0,0.0
w/o source-relative query cue,"(12.49, 29.698]","(0.346, 0.518]",21.094,0.432,12,1.0,0.0
w/o source-relative query cue,"(12.49, 29.698]","(0.518, 0.639]",21.094,0.5785,11,1.0,0.0
w/o source-relative query cue,"(12.49, 29.698]","(0.639, 0.8]",21.094,0.7195,12,1.0,0.0
w/o source-relative query cue,"(12.49, 29.698]","(0.8, 0.995]",21.094,0.8975,20,0.975,0.0
w/o transport-aware footprint,"(2.89, 5.977]","(0.346, 0.518]",4.4335,0.432,20,0.6833333333333333,0.7
w/o transport-aware footprint,"(2.89, 5.977]","(0.518, 0.639]",4.4335,0.5785,16,0.8020833333333333,0.375
w/o transport-aware footprint,"(2.89, 5.977]","(0.639, 0.8]",4.4335,0.7195,9,0.7407407407407408,0.5555555555555556
w/o transport-aware footprint,"(2.89, 5.977]","(0.8, 0.995]",4.4335,0.8975,10,0.7,0.4
w/o transport-aware footprint,"(5.977, 8.23]","(0.346, 0.518]",7.1035,0.432,10,0.7333333333333333,0.5
w/o transport-aware footprint,"(5.977, 8.23]","(0.518, 0.639]",7.1035,0.5785,14,0.75,0.6428571428571429
w/o transport-aware footprint,"(5.977, 8.23]","(0.639, 0.8]",7.1035,0.7195,17,0.7647058823529411,0.5294117647058824
w/o transport-aware footprint,"(5.977, 8.23]","(0.8, 0.995]",7.1035,0.8975,14,0.75,0.42857142857142855
w/o transport-aware footprint,"(8.23, 12.49]","(0.346, 0.518]",10.36,0.432,13,0.8974358974358974,0.15384615384615385
w/o transport-aware footprint,"(8.23, 12.49]","(0.518, 0.639]",10.36,0.5785,14,0.9761904761904762,0.0
w/o transport-aware footprint,"(8.23, 12.49]","(0.639, 0.8]",10.36,0.7195,17,1.0,0.0
w/o transport-aware footprint,"(8.23, 12.49]","(0.8, 0.995]",10.36,0.8975,11,0.9545454545454546,0.09090909090909091
w/o transport-aware footprint,"(12.49, 29.698]","(0.346, 0.518]",21.094,0.432,12,1.0,0.0
w/o transport-aware footprint,"(12.49, 29.698]","(0.518, 0.639]",21.094,0.5785,11,1.0,0.0
w/o transport-aware footprint,"(12.49, 29.698]","(0.639, 0.8]",21.094,0.7195,12,1.0,0.0
w/o transport-aware footprint,"(12.49, 29.698]","(0.8, 0.995]",21.094,0.8975,20,0.975,0.0
